1,5 anhydroglucitol measurement
10p11.21p12.31 microdeletion syndrome
10q22.3q23.3 microdeletion syndrome
10q22.3q23.3 microduplication syndrome
11p15.4 microduplication syndrome
12p12.1 microdeletion syndrome
12q14 microdeletion syndrome
12q15q21.1 microdeletion syndrome
14q11.2 microdeletion syndrome
14q11.2 microduplication syndrome
14q12 microdeletion syndrome
14q22q23 microdeletion syndrome
14q24.1q24.3 microdeletion syndrome
15q overgrowth syndrome
15q11.2 microdeletion syndrome
15q11q13 microduplication syndrome
15q13.3 microdeletion syndrome
15q14 microdeletion syndrome
15q24 microdeletion syndrome
16p11.2p12.2 microdeletion syndrome
16p11.2p12.2 microduplication syndrome
16p13.11 microdeletion syndrome
16p13.11 microduplication syndrome
16p13.3 microduplication syndrome
16q24.1 microdeletion syndrome
16q24.3 microdeletion syndrome
17p11.2 microduplication syndrome
17p13.3 microduplication syndrome
17q11 microdeletion syndrome
17q11.2 microduplication syndrome
17q12 microdeletion syndrome
17q12 microduplication syndrome
17q21.31 microdeletion syndrome
17q21.31 microduplication  syndrome
17q23.1q23.2 microdeletion syndrome
19p13.12 microdeletion syndrome
19p13.13 microdeletion syndrome
19q13.11 microdeletion syndrome
1p21.3 microdeletion syndrome
1p31p32 microdeletion syndrome
1p36 deletion syndrome
1q21.1 microdeletion syndrome
1q21.1 microduplication syndrome
1q41q42 microdeletion syndrome
1q44 microdeletion syndrome
2-aminoadipic 2-oxoadipic aciduria
2-hydroxyglutaric aciduria
2-methylbutyryl-CoA dehydrogenase deficiency
20p12.3 microdeletion syndrome
20p13 microdeletion syndrome
20q11.2 microduplication syndrome
20q13.33 microdeletion syndrome
21q22.11q22.12 microdeletion syndrome
21q22.13q22.2 microdeletion syndrome
22q11.2 deletion syndrome
22q11.2 microduplication syndrome
2p13.2 microdeletion syndrome
2p15p16.1 microdeletion syndrome
2p21 microdeletion syndrome
2p21 microdeletion syndrome without cystinuria
2q23.1 microdeletion syndrome
2q23.1 microduplication syndrome
2q24 microdeletion syndrome
2q31.1 microdeletion syndrome
